model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
Gaussian,0.75,2,0,-0.11020980461340597,-0.35817583928274094,-0.24796603466933498,0.24796603466933498,0.0008666448553009242,3.552713678800501e-15,0.24883267952463944,False,False
Gaussian,0.75,2,1,-0.10836355506061482,-0.3277048674348781,-0.21934131237426327,0.21934131237426327,0.0008666448553009242,3.552713678800501e-15,0.22020795722956774,False,False
Gaussian,0.75,2,2,-0.22800507485953952,-0.6192634028671424,-0.3912583280076029,0.3912583280076029,0.0008666448553009242,3.552713678800501e-15,0.3921249728629074,False,False
Gaussian,1.0,0,0,-0.22511923014159976,-0.6175697668901593,-0.39245053674855956,0.39245053674855956,0.0008679433251918246,3.552713678800501e-15,0.3933184800737549,False,False
Gaussian,1.0,0,1,-0.09154733160060002,-0.3599262034675514,-0.26837887186695136,0.26837887186695136,0.0008679433251918246,3.552713678800501e-15,0.2692468151921467,False,False
Gaussian,1.0,0,2,-0.11384658411236621,-0.3766813696383132,-0.262834785525947,0.262834785525947,0.0008679433251918246,3.552713678800501e-15,0.2637027288511424,False,False
Gaussian,1.0,1,0,-0.09154733160060007,-0.3599262034675514,-0.2683788718669513,0.2683788718669513,0.0008679433251918246,3.552713678800501e-15,0.26924681519214666,False,False
Gaussian,1.0,1,1,-0.26197116748737653,-0.6712691599320626,-0.40929799244468607,0.40929799244468607,0.0008679433251918246,3.552713678800501e-15,0.4101659357698814,False,False
Gaussian,1.0,1,2,-0.11857209400074845,-0.34386045612674887,-0.22528836212600042,0.22528836212600042,0.0008679433251918246,3.552713678800501e-15,0.2261563054511958,False,False
Gaussian,1.0,2,0,-0.11384658411236626,-0.3766813696383132,-0.26283478552594697,0.26283478552594697,0.0008679433251918246,3.552713678800501e-15,0.2637027288511423,False,False
Gaussian,1.0,2,1,-0.11857209400074861,-0.34386045612674887,-0.22528836212600026,0.22528836212600026,0.0008679433251918246,3.552713678800501e-15,0.22615630545119564,False,False
Gaussian,1.0,2,2,-0.24441417809232413,-0.652462448291316,-0.4080482701989919,0.4080482701989919,0.0008679433251918246,3.552713678800501e-15,0.4089162135241873,False,False
Gaussian,2.5,0,0,-0.2452798767479614,-0.6538029757107341,-0.4085230989627727,0.4085230989627727,0.000817012686121247,3.552713678800501e-15,0.4093401116488975,False,False
Gaussian,2.5,0,1,-0.10342270879694733,-0.37528339067604943,-0.2718606818791021,0.2718606818791021,0.000817012686121247,3.552713678800501e-15,0.2726776945652269,False,False
Gaussian,2.5,0,2,-0.12046581022904108,-0.3939688448289174,-0.27350303459987635,0.27350303459987635,0.000817012686121247,3.552713678800501e-15,0.2743200472860011,False,False
Gaussian,2.5,1,0,-0.10342270879694732,-0.37528339067604943,-0.2718606818791021,0.2718606818791021,0.000817012686121247,3.552713678800501e-15,0.2726776945652269,False,False
Gaussian,2.5,1,1,-0.3121029471103618,-0.7067897505805412,-0.39468680347017937,0.39468680347017937,0.000817012686121247,3.552713678800501e-15,0.39550381615630414,False,False
Gaussian,2.5,1,2,-0.14923772443937397,-0.3574853388755625,-0.20824761443618853,0.20824761443618853,0.000817012686121247,3.552713678800501e-15,0.20906462712231333,False,False
Gaussian,2.5,2,0,-0.12046581022904111,-0.3939688448289174,-0.2735030345998763,0.2735030345998763,0.000817012686121247,3.552713678800501e-15,0.27432004728600107,False,False
Gaussian,2.5,2,1,-0.1492377244393741,-0.3574853388755625,-0.2082476144361884,0.2082476144361884,0.000817012686121247,3.552713678800501e-15,0.2090646271223132,False,False
Gaussian,2.5,2,2,-0.28240497572801243,-0.6877405223725226,-0.40533554664451016,0.40533554664451016,0.000817012686121247,3.552713678800501e-15,0.40615255933063493,False,False
Gaussian,7.5,0,0,-0.2535052026993057,-0.6566582902338685,-0.40315308753456275,0.40315308753456275,0.0007773765510049091,3.552713678800501e-15,0.4039304640855712,False,False
Gaussian,7.5,0,1,-0.1115732625701587,-0.37518539811926477,-0.26361213554910606,0.26361213554910606,0.0007773765510049091,3.552713678800501e-15,0.2643895121001145,False,False
Gaussian,7.5,0,2,-0.12462495928033794,-0.39399235517671327,-0.2693673958963753,0.2693673958963753,0.0007773765510049091,3.552713678800501e-15,0.2701447724473838,False,False
Gaussian,7.5,1,0,-0.1115732625701587,-0.37518539811926477,-0.26361213554910606,0.26361213554910606,0.0007773765510049091,3.552713678800501e-15,0.2643895121001145,False,False
Gaussian,7.5,1,1,-0.33493435558609747,-0.7080926539686128,-0.3731582983825153,0.3731582983825153,0.0007773765510049091,3.552713678800501e-15,0.37393567493352375,False,False
Gaussian,7.5,1,2,-0.16614585708175092,-0.35724600874992074,-0.19110015166816982,0.19110015166816982,0.0007773765510049091,3.552713678800501e-15,0.19187752821917828,False,False
Gaussian,7.5,2,0,-0.12462495928033795,-0.39399235517671327,-0.2693673958963753,0.2693673958963753,0.0007773765510049091,3.552713678800501e-15,0.2701447724473838,False,False
Gaussian,7.5,2,1,-0.16614585708175095,-0.35724600874992074,-0.1911001516681698,0.1911001516681698,0.0007773765510049091,3.552713678800501e-15,0.19187752821917825,False,False
Gaussian,7.5,2,2,-0.2983881571249468,-0.6891820965064911,-0.3907939393815443,0.3907939393815443,0.0007773765510049091,3.552713678800501e-15,0.39157131593255273,False,False
Gaussian,10.0,0,0,-0.2543956803154889,-0.6566632832683115,-0.40226760295282254,0.40226760295282254,0.0007756498122566251,3.552713678800501e-15,0.40304325276508274,False,False
Gaussian,10.0,0,1,-0.11283140213643869,-0.3751847809814637,-0.26235337884502496,0.26235337884502496,0.0007756498122566251,3.552713678800501e-15,0.26312902865728516,False,False
