kappa,d,n,time_over_tau,restriction_error,analytic_completion_error,same_grid_completion_error,full_harmonic_grid_vs_analytic_error,completion_static_error,completion_delayed_error
1,3,33,1,0.0,0.009186712318388746,1.1102230246251565e-16,0.009186712318388857,0.003564257352962258,0.005622454965426758
1,3,33,10,0.0,0.0035650301674904628,1.1102230246251565e-16,0.003565030167490546,0.003564257352962258,7.728145283592697e-07
1,1,65,0.1,0.04565717791523137,0.18817583568263968,0.18535401605961827,0.002908197124399381,0.6789399451287148,0.5011255694769083
1,1,65,1,0.13302388434498,0.6879936351163901,0.6837467437907666,0.005025607271463839,0.6789399451287148,0.07454417749471218
1,1,65,10,0.16997142832265108,0.6826924710041472,0.6782536934343187,0.004438777569828356,0.6789399451287148,0.02602554621960302
1,2,65,0.1,0.014453732514917841,0.1733435217776263,0.17043532465322692,0.002908197124399381,0.5416232069680027,0.3837916180460965
1,2,65,1,0.062145016378019294,0.6006751483675384,0.5963616997292079,0.005025607271463839,0.5416232069680027,0.07724591954182544
1,2,65,10,0.04748758490341348,0.5494548481128589,0.5457083461083043,0.004438777569828356,0.5416232069680027,0.026025619287145817
1,3,65,0.1,0.0,0.002908197124399381,1.3877787807814457e-17,0.002908197124399381,0.004438659117761673,0.0016187848567718877
1,3,65,1,0.0,0.005025607271463783,1.1102230246251565e-16,0.005025607271463839,0.004438659117761673,0.0007190736583040785
1,3,65,10,0.0,0.004438777569828328,1.1102230246251565e-16,0.004438777569828356,0.004438659117761673,1.1845206660410917e-07
10,1,17,0.1,0.18626279378445426,0.06176082447182474,0.0264890578616509,0.035757191267878685,0.03384664741450516,0.033291701483713965
10,1,17,1,0.7507256201873341,0.10427692616028716,0.07713762817592673,0.027139297984360322,0.03384664741450516,0.07420259639111759
10,1,17,10,0.8689288660922448,0.033847845375306385,0.032781224476726045,0.0013890055708782878,0.03384664741450516,1.4459364540865984e-05
10,2,17,0.1,0.12071888463464975,0.05830543969563756,0.023033673085463724,0.035757191267878685,0.027040694028001078,0.057405962456588244
10,2,17,1,0.41915675094325955,0.0817997465454462,0.05466044856108587,0.027139297984360322,0.027040694028001078,0.0809002693063969
10,2,17,10,0.47419240981466587,0.027040828829333452,0.0259245126772224,0.0013890055708782878,0.027040694028001078,1.4851334835292087e-05
10,3,17,0.1,0.0,0.035757191267878685,0.0,0.035757191267878685,0.0013889773441631004,0.03451376685130925
10,3,17,1,0.0,0.027139297984360322,1.1102230246251565e-16,0.027139297984360322,0.0013889773441631004,0.026381298225495717
10,3,17,10,0.0,0.0013890055708782878,1.1102230246251565e-16,0.0013890055708782878,0.0013889773441631004,8.411589162398655e-07
10,1,33,0.1,0.20687184540077708,0.03975718742157869,0.029893287076988406,0.010064538422512204,0.03587827306881586,0.012570856824915488
10,1,33,1,0.7685906614954344,0.08402942385332468,0.07688775256362523,0.007301501983385306,0.03587827306881586,0.051487648035240016
10,1,33,10,0.8668010956021489,0.03587866913088744,0.034041176015540575,0.0023723393654876412,0.03587827306881586,8.227422050651717e-06
10,2,33,0.1,0.13620914854681682,0.03611923421414992,0.02625533386955964,0.010064538422512204,0.028621962128221767,0.03270204262835419
10,2,33,1,0.42621517949266274,0.060603545593343355,0.05346187430364391,0.007301501983385306,0.028621962128221767,0.05718635400754748
10,2,33,10,0.4726546203714417,0.028621831873932357,0.026726802957609708,0.0023723393654876412,0.028621962128221767,8.471675467097673e-06
10,3,33,0.1,0.0,0.010064538422512204,0.0,0.010064538422512204,0.0023723352357857275,0.008537909415616274
10,3,33,1,0.0,0.007301501983385306,1.1102230246251565e-16,0.007301501983385306,0.0023723352357857275,0.005815680360725564
10,3,33,10,0.0,0.0023723393654876412,1.1102230246251565e-16,0.0023723393654876412,0.0023723352357857275,1.5693927790259598e-07
10,1,65,0.1,0.2127064019810778,0.03354559284325609,0.030886708277760633,0.0027381076617687405,0.037066000956138434,0.00747140610194974
10,1,65,1,0.7725187763382325,0.07961157876173841,0.076833156860169,0.0034438603593910377,0.037066000956138434,0.04564822392569913
